,Mo_3pz
-81.1608,0.0
-81.15079999999999,0.0
-81.1408,0.0
-81.1308,0.0
-81.1208,0.0
-81.1108,0.0
-81.10079999999999,0.0
-81.0908,0.0
-81.0808,0.0
-81.07079999999999,0.0
-81.0608,0.0
-81.0508,0.0
-81.04079999999999,0.0
-81.0308,0.0
-81.0208,0.0
-81.0108,0.0
-81.0008,0.0
-80.9908,0.0
-80.9808,0.0
-80.9708,0.0
-80.96079999999999,0.0
-80.9508,0.0
-80.9408,0.0
-80.93079999999999,0.0
-80.9208,0.0
-80.9108,0.0
-80.90079999999999,0.0
-80.8908,0.0
-80.8808,0.0
-80.8708,0.0
-80.8608,0.0
-80.85079999999999,0.0
-80.8408,0.0
-80.8308,0.0
-80.82079999999999,0.0
-80.8108,0.0
-80.8008,0.0
-80.79079999999999,0.0
-80.7808,0.0
-80.7708,0.0
-80.7608,0.0
-80.7508,0.0
-80.7408,0.0
-80.7308,0.0
-80.7208,0.0
-80.71079999999999,0.0
-80.7008,0.0
-80.6908,0.0
-80.68079999999999,0.0
-80.6708,0.0
-80.6608,0.0
-80.65079999999999,0.0
-80.6408,0.0
-80.6308,0.0
-80.6208,0.0
-80.6108,0.0
-80.60079999999999,0.0
-80.5908,0.0
-80.5808,0.0
-80.57079999999999,0.0
-80.5608,0.0
-80.5508,0.0
-80.54079999999999,0.0
-80.5308,0.0
-80.5208,0.0
-80.5108,0.0
-80.5008,0.0
-80.4908,0.0
-80.4808,0.0
-80.4708,0.0
-80.46079999999999,0.0
-80.4508,0.0
-80.4408,0.0
-80.43079999999999,0.0
-80.4208,0.0
-80.4108,0.0
-80.40079999999999,0.0
-80.3908,0.0
-80.3808,0.0
-80.3708,0.0
-80.3608,0.0
-80.35079999999999,0.0
-80.3408,0.0
-80.3308,0.0
-80.32079999999999,0.0
-80.3108,0.0
-80.3008,0.0
-80.29079999999999,0.0
-80.2808,0.0
-80.2708,0.0
-80.2608,0.0
-80.2508,0.0
-80.2408,0.0
-80.2308,0.0
-80.2208,0.0
-80.21079999999999,0.0
-80.2008,0.0
-80.1908,0.0
-80.18079999999999,0.0
-80.1708,0.0
-80.1608,0.0
-80.15079999999999,0.0
-80.1408,0.0
-80.1308,0.0
-80.1208,0.0
-80.1108,0.0
-80.10079999999999,0.0
-80.0908,0.0
-80.0808,0.0
-80.07079999999999,0.0
-80.0608,0.0
-80.0508,0.0
-80.04079999999999,0.0
-80.0308,0.0
-80.0208,0.0
-80.0108,0.0
-80.0008,0.0
-79.9908,0.0
-79.9808,0.0
-79.9708,0.0
-79.96079999999999,0.0
-79.9508,0.0
-79.9408,0.0
-79.93079999999999,0.0
-79.9208,0.0
-79.9108,0.0
-79.90079999999999,0.0
-79.8908,0.0
-79.8808,0.0
-79.8708,0.0
-79.8608,0.0
-79.85079999999999,0.0
-79.8408,0.0
-79.8308,0.0
-79.82079999999999,0.0
-79.8108,0.0
-79.8008,0.0
-79.79079999999999,0.0
-79.7808,0.0
-79.7708,0.0
-79.7608,0.0
-79.7508,0.0
-79.7408,0.0
-79.7308,0.0
-79.7208,0.0
-79.71079999999999,0.0
-79.7008,0.0
-79.6908,0.0
-79.68079999999999,0.0
-79.6708,0.0
-79.6608,0.0
-79.65079999999999,0.0
-79.6408,0.0
-79.6308,0.0
-79.6208,0.0
-79.6108,0.0
-79.60079999999999,0.0
-79.5908,0.0
-79.5808,0.0
-79.57079999999999,0.0
-79.5608,0.0
-79.5508,0.0
-79.54079999999999,0.0
-79.5308,0.0
-79.5208,0.0
-79.5108,0.0
-79.5008,0.0
-79.4908,0.0
-79.4808,0.0
-79.4708,0.0
-79.46079999999999,0.0
-79.4508,0.0
-79.4408,0.0
-79.43079999999999,0.0
-79.4208,0.0
-79.4108,0.0
-79.40079999999999,0.0
-79.3908,0.0
-79.3808,0.0
-79.3708,0.0
-79.3608,0.0
-79.35079999999999,0.0
-79.3408,0.0
-79.3308,0.0
-79.32079999999999,0.0
-79.3108,0.0
-79.3008,0.0
-79.29079999999999,0.0
-79.2808,0.0
-79.2708,0.0
-79.2608,0.0
-79.2508,0.0
-79.2408,0.0
-79.2308,0.0
-79.2208,0.0
-79.21079999999999,0.0
-79.2008,0.0
-79.1908,0.0
-79.18079999999999,0.0
-79.1708,0.0
-79.1608,0.0
-79.15079999999999,0.0
-79.1408,0.0
-79.1308,0.0
-79.1208,0.0
-79.1108,0.0
-79.10079999999999,0.0
-79.0908,0.0
-79.0808,0.0
-79.07079999999999,0.0
-79.0608,0.0
-79.0508,0.0
-79.04079999999999,0.0
-79.0308,0.0
-79.0208,0.0
-79.0108,0.0
-79.0008,0.0
-78.9908,0.0
-78.9808,0.0
-78.9708,0.0
-78.96079999999999,0.0
-78.9508,0.0
-78.9408,0.0
-78.93079999999999,0.0
-78.9208,0.0
-78.9108,0.0
-78.90079999999999,0.0
-78.8908,0.0
-78.8808,0.0
-78.8708,0.0
-78.8608,0.0
-78.85079999999999,0.0
-78.8408,0.0
-78.8308,0.0
-78.82079999999999,0.0
-78.8108,0.0
-78.8008,0.0
-78.79079999999999,0.0
-78.7808,0.0
-78.7708,0.0
-78.7608,0.0
-78.7508,0.0
-78.7408,0.0
-78.7308,0.0
-78.7208,0.0
-78.71079999999999,0.0
-78.7008,0.0
-78.6908,0.0
-78.68079999999999,0.0
-78.6708,0.0
-78.6608,0.0
-78.65079999999999,0.0
-78.6408,0.0
-78.6308,0.0
-78.6208,0.0
-78.6108,0.0
-78.60079999999999,0.0
-78.5908,0.0
-78.5808,0.0
-78.57079999999999,0.0
-78.5608,0.0
-78.5508,0.0
-78.54079999999999,0.0
-78.5308,0.0
-78.5208,0.0
-78.5108,0.0
-78.5008,0.0
-78.4908,0.0
-78.4808,0.0
-78.4708,0.0
-78.46079999999999,0.0
-78.4508,0.0
-78.4408,0.0
-78.43079999999999,0.0
-78.4208,0.0
-78.4108,0.0
-78.40079999999999,0.0
-78.3908,0.0
-78.3808,0.0
-78.3708,0.0
-78.3608,0.0
-78.35079999999999,0.0
-78.3408,0.0
-78.3308,0.0
-78.32079999999999,0.0
-78.3108,0.0
-78.3008,0.0
-78.29079999999999,0.0
-78.2808,0.0
-78.2708,0.0
-78.2608,0.0
-78.2508,0.0
-78.2408,0.0
-78.2308,0.0
-78.2208,0.0
-78.21079999999999,0.0
-78.2008,0.0
-78.1908,0.0
-78.18079999999999,0.0
-78.1708,0.0
-78.1608,0.0
-78.15079999999999,0.0
-78.1408,0.0
-78.1308,0.0
-78.1208,0.0
-78.1108,0.0
-78.10079999999999,0.0
-78.0908,0.0
-78.0808,0.0
-78.07079999999999,0.0
-78.0608,0.0
-78.0508,0.0
-78.04079999999999,0.0
-78.0308,0.0
-78.0208,0.0
-78.0108,0.0
-78.0008,0.0
-77.9908,0.0
-77.9808,0.0
-77.9708,0.0
-77.96079999999999,0.0
-77.9508,0.0
-77.9408,0.0
-77.93079999999999,0.0
-77.9208,0.0
-77.9108,0.0
-77.90079999999999,0.0
-77.8908,0.0
-77.8808,0.0
-77.8708,0.0
-77.8608,0.0
-77.85079999999999,0.0
-77.8408,0.0
-77.8308,0.0
-77.82079999999999,0.0
-77.8108,0.0
-77.8008,0.0
-77.79079999999999,0.0
-77.7808,0.0
-77.7708,0.0
-77.7608,0.0
-77.7508,0.0
-77.7408,0.0
-77.7308,0.0
-77.7208,0.0
-77.71079999999999,0.0
-77.7008,0.0
-77.6908,0.0
-77.68079999999999,0.0
-77.6708,0.0
-77.6608,0.0
-77.65079999999999,0.0
-77.6408,0.0
-77.6308,0.0
-77.6208,0.0
-77.6108,0.0
-77.60079999999999,0.0
-77.5908,0.0
-77.5808,0.0
-77.57079999999999,0.0
-77.5608,0.0
-77.5508,0.0
-77.54079999999999,0.0
-77.5308,0.0
-77.5208,0.0
