,Mo_4dzx
-61.693,2.278060000000001e-05
-61.68299999999999,2.1047199999999997e-05
-61.673,1.9306500000000002e-05
-61.663,1.7572099999999997e-05
-61.65299999999999,1.5863699999999995e-05
-61.643,1.4209719999999997e-05
-61.632999999999996,1.262284e-05
-61.62299999999999,1.111024e-05
-61.613,9.68733e-06
-61.602999999999994,8.370530000000001e-06
-61.593,7.1705200000000025e-06
-61.583,6.086379999999999e-06
-61.57299999999999,5.117890000000001e-06
-61.563,4.265151e-06
-61.553,3.515196e-06
-61.54299999999999,2.8745519999999995e-06
-61.533,2.324172000000001e-06
-61.522999999999996,1.8622330000000004e-06
-61.51299999999999,1.475842e-06
-61.503,1.1575527e-06
-61.492999999999995,8.996234e-07
-61.48299999999999,6.914495000000001e-07
-61.473,5.255723e-07
-61.462999999999994,3.9603509999999995e-07
-61.453,2.9531007e-07
-61.443,2.1799582000000005e-07
-61.43299999999999,1.5892275999999998e-07
-61.423,1.1497451000000003e-07
-61.413,8.207164999999998e-08
-61.40299999999999,5.8127338999999994e-08
-61.393,4.0530618e-08
-61.382999999999996,2.8116844999999996e-08
-61.37299999999999,1.9253605e-08
-61.363,1.30529025e-08
-61.352999999999994,8.7484513e-09
-61.343,5.804134300000001e-09
-61.333,3.8067342999999995e-09
-61.32299999999999,2.47510475e-09
-61.313,1.5891523599999998e-09
-61.303,1.0108709700000002e-09
-61.29299999999999,6.345598099999998e-10
-61.283,3.9478715e-10
-61.272999999999996,2.4315629199999997e-10
-61.26299999999999,1.4791968200000003e-10
-61.253,8.910423899999997e-11
-61.242999999999995,5.308447000000001e-11
-61.23299999999999,3.132403129999999e-11
-61.223,1.8261947100000006e-11
-61.212999999999994,1.0526371060000002e-11
-61.203,6.0122215100000006e-12
-61.193,3.392619940000001e-12
-61.18299999999999,1.895367733e-12
-61.173,1.0482139301700003e-12
-61.163,5.729464002360001e-13
-61.15299999999999,3.0933146465699996e-13
-61.143,1.6549535387800004e-13
-61.132999999999996,8.760086497799998e-14
-61.12299999999999,4.58109511223e-14
-61.113,2.3716846975399996e-14
-61.102999999999994,1.2152385742300003e-14
-61.093,6.161432230270001e-15
-61.083,3.090373911290001e-15
-61.07299999999999,1.5327391372e-15
-61.063,7.521373785149998e-16
-61.053,3.652898264310001e-16
-61.04299999999999,1.7526627813699997e-16
-61.033,8.326747849099999e-17
-61.022999999999996,0.0
-61.01299999999999,0.0
-61.003,0.0
-60.992999999999995,0.0
-60.98299999999999,0.0
-60.973,0.0
-60.962999999999994,0.0
-60.953,0.0
-60.943,0.0
-60.93299999999999,0.0
-60.923,0.0
-60.913,0.0
-60.90299999999999,0.0
-60.893,0.0
-60.882999999999996,0.0
-60.87299999999999,0.0
-60.863,0.0
-60.852999999999994,0.0
-60.843,0.0
-60.833,0.0
-60.82299999999999,0.0
-60.813,0.0
-60.803,0.0
-60.79299999999999,0.0
-60.783,0.0
-60.772999999999996,0.0
-60.76299999999999,0.0
-60.753,0.0
-60.742999999999995,0.0
-60.73299999999999,0.0
-60.723,0.0
-60.712999999999994,0.0
-60.703,0.0
-60.693,0.0
-60.68299999999999,0.0
-60.673,0.0
-60.663,0.0
-60.65299999999999,0.0
-60.643,0.0
-60.632999999999996,0.0
-60.62299999999999,0.0
-60.613,0.0
-60.602999999999994,0.0
-60.593,0.0
-60.583,0.0
-60.57299999999999,0.0
-60.563,0.0
-60.553,0.0
-60.54299999999999,0.0
-60.533,0.0
-60.522999999999996,0.0
-60.51299999999999,0.0
-60.503,0.0
-60.492999999999995,0.0
-60.48299999999999,0.0
-60.473,0.0
-60.462999999999994,0.0
-60.453,0.0
-60.443,0.0
-60.43299999999999,0.0
-60.423,0.0
-60.413,0.0
-60.40299999999999,0.0
-60.393,0.0
-60.382999999999996,0.0
-60.37299999999999,0.0
-60.363,0.0
-60.352999999999994,0.0
-60.343,0.0
-60.333,0.0
-60.32299999999999,0.0
-60.313,0.0
-60.303,0.0
-60.29299999999999,0.0
-60.283,0.0
-60.272999999999996,0.0
-60.26299999999999,0.0
-60.253,0.0
-60.242999999999995,0.0
-60.23299999999999,0.0
-60.223,0.0
-60.212999999999994,0.0
-60.203,0.0
-60.193,0.0
-60.18299999999999,0.0
-60.173,0.0
-60.163,0.0
-60.15299999999999,0.0
-60.143,0.0
-60.132999999999996,0.0
-60.12299999999999,0.0
-60.113,0.0
-60.102999999999994,0.0
-60.093,0.0
-60.083,0.0
-60.07299999999999,0.0
-60.063,0.0
-60.053,0.0
-60.04299999999999,0.0
-60.033,0.0
-60.022999999999996,0.0
-60.01299999999999,0.0
-60.003,0.0
-59.992999999999995,0.0
-59.98299999999999,0.0
-59.973,0.0
-59.962999999999994,0.0
-59.953,0.0
-59.943,0.0
-59.93299999999999,0.0
-59.923,0.0
-59.913,0.0
-59.90299999999999,0.0
-59.893,0.0
-59.882999999999996,0.0
-59.87299999999999,0.0
-59.863,0.0
-59.852999999999994,0.0
-59.843,0.0
-59.833,0.0
-59.82299999999999,0.0
-59.813,0.0
-59.803,0.0
-59.79299999999999,0.0
-59.783,0.0
-59.772999999999996,0.0
-59.76299999999999,0.0
-59.753,0.0
-59.742999999999995,0.0
-59.73299999999999,0.0
-59.723,0.0
-59.712999999999994,0.0
-59.703,0.0
-59.693,0.0
-59.68299999999999,0.0
-59.673,0.0
-59.663,0.0
-59.65299999999999,0.0
-59.643,0.0
-59.632999999999996,0.0
-59.62299999999999,0.0
-59.613,0.0
-59.602999999999994,0.0
-59.593,0.0
-59.583,0.0
-59.57299999999999,0.0
-59.563,0.0
-59.553,0.0
-59.54299999999999,0.0
-59.533,0.0
-59.522999999999996,0.0
-59.51299999999999,0.0
-59.503,0.0
-59.492999999999995,0.0
-59.48299999999999,0.0
-59.473,0.0
-59.462999999999994,0.0
-59.453,0.0
-59.443,0.0
-59.43299999999999,0.0
-59.423,0.0
-59.413,0.0
-59.40299999999999,0.0
-59.393,0.0
-59.382999999999996,0.0
-59.37299999999999,0.0
-59.363,0.0
-59.352999999999994,0.0
-59.343,0.0
-59.333,0.0
-59.32299999999999,0.0
-59.313,0.0
-59.303,0.0
-59.29299999999999,0.0
-59.283,0.0
-59.272999999999996,0.0
-59.26299999999999,0.0
-59.253,0.0
-59.242999999999995,0.0
-59.23299999999999,0.0
-59.223,0.0
-59.212999999999994,0.0
-59.203,0.0
-59.193,0.0
-59.18299999999999,0.0
-59.173,0.0
-59.163,0.0
-59.153000000000006,0.0
-59.143,0.0
-59.132999999999996,0.0
-59.123000000000005,0.0
-59.113,0.0
-59.102999999999994,0.0
-59.093,0.0
-59.083,0.0
-59.07299999999999,0.0
-59.063,0.0
-59.053,0.0
-59.043000000000006,0.0
-59.033,0.0
-59.022999999999996,0.0
-59.013000000000005,0.0
-59.003,0.0
-58.992999999999995,0.0
-58.983000000000004,0.0
-58.973,0.0
-58.962999999999994,0.0
-58.953,0.0
-58.943,0.0
-58.93300000000001,0.0
-58.923,0.0
-58.913,0.0
-58.903000000000006,0.0
-58.893,0.0
-58.882999999999996,0.0
-58.873000000000005,0.0
-58.863,0.0
-58.852999999999994,0.0
-58.843,0.0
-58.833,0.0
-58.82299999999999,0.0
-58.813,0.0
-58.803,0.0
-58.793000000000006,0.0
-58.783,0.0
-58.772999999999996,0.0
-58.763000000000005,0.0
-58.753,0.0
-58.742999999999995,0.0
-58.733000000000004,0.0
-58.723,0.0
-58.712999999999994,0.0
-58.703,0.0
-58.693,0.0
-58.68300000000001,0.0
-58.673,0.0
-58.663,0.0
-58.653000000000006,0.0
-58.643,0.0
-58.632999999999996,0.0
-58.623000000000005,0.0
-58.613,0.0
-58.602999999999994,0.0
-58.593,0.0
-58.583,0.0
-58.57299999999999,0.0
-58.563,0.0
-58.553,0.0
-58.543000000000006,0.0
-58.533,0.0
-58.522999999999996,0.0
-58.513000000000005,0.0
-58.503,0.0
-58.492999999999995,0.0
-58.483000000000004,0.0
-58.473,0.0
-58.462999999999994,0.0
-58.453,0.0
-58.443,0.0
-58.43300000000001,0.0
-58.423,0.0
-58.413,0.0
-58.403000000000006,0.0
-58.393,0.0
-58.382999999999996,0.0
-58.373000000000005,0.0
-58.363,0.0
-58.352999999999994,0.0
-58.343,0.0
-58.333,0.0
-58.32299999999999,0.0
-58.313,0.0
-58.303,0.0
-58.293000000000006,0.0
-58.283,0.0
-58.272999999999996,0.0
-58.263000000000005,0.0
-58.253,0.0
-58.242999999999995,0.0
-58.233000000000004,0.0
-58.223,0.0
-58.212999999999994,0.0
-58.203,0.0
-58.193,0.0
-58.18300000000001,0.0
-58.173,0.0
-58.163,0.0
-58.153000000000006,0.0
-58.143,0.0
-58.132999999999996,0.0
-58.123000000000005,0.0
-58.113,0.0
-58.102999999999994,0.0
-58.093,0.0
-58.083,0.0
-58.07299999999999,0.0
-58.063,0.0
-58.053,0.0
-58.043000000000006,0.0
-58.033,0.0
-58.022999999999996,0.0
-58.013000000000005,0.0
-58.003,0.0
-57.992999999999995,0.0
-57.983000000000004,0.0
-57.973,0.0
-57.962999999999994,0.0
-57.953,0.0
-57.943,0.0
-57.93300000000001,0.0
-57.923,0.0
-57.913,0.0
-57.903000000000006,0.0
-57.893,0.0
-57.882999999999996,0.0
-57.873000000000005,0.0
-57.863,0.0
-57.852999999999994,0.0
-57.843,0.0
-57.833,0.0
-57.82299999999999,0.0
-57.813,0.0
-57.803,0.0
-57.793000000000006,0.0
-57.783,0.0
-57.772999999999996,0.0
-57.763000000000005,0.0
-57.753,0.0
-57.742999999999995,0.0
-57.733000000000004,0.0
-57.723,0.0
-57.712999999999994,0.0
-57.703,0.0
-57.693,0.0
-57.68300000000001,0.0
-57.673,0.0
-57.663,0.0
-57.653000000000006,0.0
-57.643,0.0
-57.632999999999996,0.0
-57.623000000000005,0.0
-57.613,0.0
-57.602999999999994,0.0
-57.593,0.0
-57.583,0.0
-57.57299999999999,0.0
-57.563,0.0
-57.553,0.0
-57.543000000000006,0.0
-57.533,0.0
-57.522999999999996,0.0
-57.513000000000005,0.0
-57.503,0.0
-57.492999999999995,0.0
-57.483000000000004,0.0
-57.473,0.0
-57.462999999999994,0.0
-57.453,0.0
-57.443,0.0
-57.43300000000001,0.0
-57.423,0.0
-57.413,0.0
-57.403000000000006,0.0
-57.393,0.0
-57.382999999999996,0.0
-57.373000000000005,0.0
-57.363,0.0
-57.352999999999994,0.0
-57.343,0.0
-57.333,0.0
-57.32299999999999,0.0
-57.313,0.0
-57.303,0.0
-57.293000000000006,0.0
-57.283,0.0
-57.272999999999996,0.0
-57.263000000000005,0.0
-57.253,0.0
-57.242999999999995,0.0
-57.233000000000004,0.0
-57.223,0.0
-57.212999999999994,0.0
-57.203,0.0
-57.193,0.0
-57.18300000000001,0.0
-57.173,0.0
-57.163,0.0
-57.153000000000006,0.0
-57.143,0.0
-57.132999999999996,0.0
-57.123000000000005,0.0
-57.113,0.0
-57.102999999999994,0.0
-57.093,0.0
-57.083,0.0
-57.07299999999999,0.0
-57.063,0.0
-57.053,0.0
-57.043000000000006,0.0
-57.033,0.0
-57.022999999999996,0.0
-57.013000000000005,0.0
-57.003,0.0
-56.992999999999995,0.0
-56.983000000000004,0.0
-56.973,0.0
-56.962999999999994,0.0
-56.953,0.0
-56.943,0.0
-56.93300000000001,0.0
-56.923,0.0
-56.913,0.0
-56.903000000000006,0.0
-56.893,0.0
-56.882999999999996,0.0
-56.873000000000005,0.0
-56.863,0.0
-56.852999999999994,0.0
-56.843,0.0
-56.833,0.0
-56.82299999999999,0.0
-56.813,0.0
-56.803,0.0
-56.793000000000006,0.0
-56.783,0.0
-56.772999999999996,0.0
-56.763000000000005,0.0
-56.753,0.0
-56.742999999999995,0.0
-56.733000000000004,0.0
-56.723,0.0
-56.712999999999994,0.0
-56.703,0.0
-56.693,0.0
-56.68300000000001,0.0
-56.673,0.0
-56.663,0.0
-56.653000000000006,0.0
-56.643,0.0
-56.632999999999996,0.0
-56.623000000000005,0.0
-56.613,0.0
-56.602999999999994,0.0
-56.593,0.0
-56.583,0.0
-56.57299999999999,0.0
-56.563,0.0
-56.553,0.0
-56.543000000000006,0.0
-56.533,0.0
-56.522999999999996,0.0
-56.513000000000005,0.0
-56.503,0.0
-56.492999999999995,0.0
-56.483000000000004,0.0
-56.473,0.0
-56.462999999999994,0.0
-56.453,0.0
-56.443,0.0
-56.43300000000001,0.0
-56.423,0.0
-56.413,0.0
-56.403000000000006,0.0
-56.393,0.0
-56.382999999999996,0.0
-56.373000000000005,0.0
-56.363,0.0
-56.352999999999994,0.0
-56.343,0.0
-56.333,0.0
-56.32299999999999,0.0
-56.313,0.0
-56.303,0.0
-56.293000000000006,0.0
-56.283,0.0
-56.272999999999996,0.0
-56.263000000000005,0.0
-56.253,0.0
-56.242999999999995,0.0
-56.233000000000004,0.0
-56.223,0.0
-56.212999999999994,0.0
-56.203,0.0
-56.193,0.0
-56.18300000000001,0.0
-56.173,0.0
-56.163,0.0
-56.153000000000006,0.0
-56.143,0.0
-56.132999999999996,0.0
-56.123000000000005,0.0
-56.113,0.0
-56.102999999999994,0.0
-56.093,0.0
-56.083,0.0
-56.07299999999999,0.0
-56.063,0.0
-56.053,0.0
-56.043000000000006,0.0
-56.033,0.0
-56.022999999999996,0.0
-56.013000000000005,0.0
-56.003,0.0
-55.992999999999995,0.0
-55.983000000000004,0.0
-55.973,0.0
-55.962999999999994,0.0
-55.953,0.0
-55.943,0.0
-55.93300000000001,0.0
-55.923,0.0
-55.913,0.0
-55.903000000000006,0.0
-55.893,0.0
-55.882999999999996,0.0
-55.873000000000005,0.0
-55.863,0.0
-55.852999999999994,0.0
-55.843,0.0
-55.833,0.0
-55.82299999999999,0.0
-55.813,0.0
-55.803,0.0
-55.793000000000006,0.0
-55.783,0.0
-55.772999999999996,0.0
-55.763000000000005,0.0
-55.753,0.0
-55.742999999999995,0.0
-55.733000000000004,0.0
-55.723,0.0
-55.712999999999994,0.0
-55.703,0.0
-55.693,0.0
-55.68300000000001,0.0
-55.673,0.0
-55.663,0.0
-55.653000000000006,0.0
-55.643,0.0
-55.632999999999996,0.0
-55.623000000000005,0.0
-55.613,0.0
-55.602999999999994,0.0
-55.593,0.0
-55.583,0.0
-55.57299999999999,0.0
-55.563,0.0
-55.553,0.0
-55.543000000000006,0.0
-55.533,0.0
-55.522999999999996,0.0
-55.513000000000005,0.0
-55.503,0.0
-55.492999999999995,0.0
-55.483000000000004,0.0
-55.473,0.0
-55.462999999999994,0.0
-55.453,0.0
-55.443,0.0
-55.43300000000001,0.0
-55.423,0.0
-55.413,0.0
-55.403000000000006,0.0
-55.393,0.0
-55.382999999999996,0.0
-55.373000000000005,0.0
-55.363,0.0
-55.352999999999994,0.0
-55.343,0.0
-55.333,0.0
-55.32299999999999,0.0
-55.313,0.0
-55.303,0.0
-55.293000000000006,0.0
-55.283,0.0
-55.272999999999996,0.0
-55.263000000000005,0.0
-55.253,0.0
-55.242999999999995,0.0
-55.233000000000004,0.0
-55.223,0.0
-55.212999999999994,0.0
-55.203,0.0
-55.193,0.0
-55.18300000000001,0.0
-55.173,0.0
-55.163,0.0
-55.153000000000006,0.0
-55.143,0.0
-55.132999999999996,0.0
-55.123000000000005,0.0
-55.113,0.0
-55.102999999999994,0.0
-55.093,0.0
-55.083,0.0
-55.07299999999999,0.0
-55.063,0.0
-55.053,0.0
-55.043000000000006,0.0
-55.033,0.0
-55.022999999999996,0.0
-55.013000000000005,0.0
-55.003,0.0
-54.992999999999995,0.0
-54.983000000000004,0.0
-54.973,0.0
-54.962999999999994,0.0
-54.953,0.0
-54.943,0.0
-54.93300000000001,0.0
-54.923,0.0
-54.913,0.0
-54.903000000000006,0.0
-54.893,0.0
-54.882999999999996,0.0
-54.873000000000005,0.0
-54.863,0.0
-54.852999999999994,0.0
-54.843,0.0
-54.833,0.0
-54.82299999999999,0.0
-54.813,0.0
-54.803,0.0
-54.793000000000006,0.0
-54.783,0.0
-54.772999999999996,0.0
-54.763000000000005,0.0
-54.753,0.0
-54.742999999999995,0.0
-54.733000000000004,0.0
-54.723,0.0
-54.712999999999994,0.0
-54.703,0.0
-54.693,0.0
-54.68300000000001,0.0
-54.673,0.0
-54.663,0.0
-54.653000000000006,0.0
-54.643,0.0
-54.632999999999996,0.0
-54.623000000000005,0.0
-54.613,0.0
-54.602999999999994,0.0
-54.593,0.0
-54.583,0.0
-54.57299999999999,0.0
-54.563,0.0
-54.553,0.0
-54.543000000000006,0.0
-54.533,0.0
-54.522999999999996,0.0
-54.513000000000005,0.0
-54.503,0.0
-54.492999999999995,0.0
-54.483000000000004,0.0
-54.473,0.0
-54.462999999999994,0.0
-54.453,0.0
-54.443,0.0
-54.43300000000001,0.0
-54.423,0.0
-54.413,0.0
-54.403000000000006,0.0
-54.393,0.0
-54.382999999999996,0.0
-54.373000000000005,0.0
-54.363,0.0
-54.352999999999994,0.0
-54.343,0.0
-54.333,0.0
-54.32299999999999,0.0
-54.313,0.0
-54.303,0.0
-54.293000000000006,0.0
-54.283,0.0
-54.272999999999996,0.0
-54.263000000000005,0.0
-54.253,0.0
-54.242999999999995,0.0
-54.233000000000004,0.0
-54.223,0.0
-54.212999999999994,0.0
-54.203,0.0
-54.193,0.0
-54.18300000000001,0.0
-54.173,0.0
-54.163,0.0
-54.153000000000006,0.0
-54.143,0.0
-54.132999999999996,0.0
-54.123000000000005,0.0
-54.113,0.0
-54.102999999999994,0.0
-54.093,0.0
-54.083,0.0
-54.07299999999999,0.0
-54.063,0.0
-54.053,0.0
-54.043000000000006,0.0
-54.033,0.0
-54.022999999999996,0.0
-54.013000000000005,0.0
-54.003,0.0
-53.992999999999995,0.0
-53.983000000000004,0.0
-53.973,0.0
-53.962999999999994,0.0
-53.953,0.0
-53.943,0.0
-53.93300000000001,0.0
-53.923,0.0
-53.913,0.0
-53.903000000000006,0.0
-53.893,0.0
-53.882999999999996,0.0
-53.873000000000005,0.0
-53.863,0.0
-53.852999999999994,0.0
-53.843,0.0
-53.833,0.0
-53.82299999999999,0.0
-53.813,0.0
-53.803,0.0
-53.793000000000006,0.0
-53.783,0.0
-53.772999999999996,0.0
-53.763000000000005,0.0
-53.753,0.0
-53.742999999999995,0.0
-53.733000000000004,0.0
-53.723,0.0
-53.712999999999994,0.0
-53.703,0.0
-53.693,0.0
-53.68300000000001,0.0
-53.673,0.0
-53.663,0.0
-53.653000000000006,0.0
-53.643,0.0
-53.632999999999996,0.0
-53.623000000000005,0.0
-53.613,0.0
-53.602999999999994,0.0
-53.593,0.0
-53.583,0.0
-53.57299999999999,0.0
-53.563,0.0
-53.553,0.0
-53.543000000000006,0.0
-53.533,0.0
-53.522999999999996,0.0
-53.513000000000005,0.0
-53.503,0.0
-53.492999999999995,0.0
-53.483000000000004,0.0
-53.473,0.0
-53.462999999999994,0.0
-53.453,0.0
-53.443,0.0
-53.43300000000001,0.0
-53.423,0.0
-53.413,0.0
-53.403000000000006,0.0
-53.393,0.0
-53.382999999999996,0.0
-53.373000000000005,0.0
-53.363,0.0
-53.352999999999994,0.0
-53.343,0.0
-53.333,0.0
-53.32299999999999,0.0
-53.313,0.0
-53.303,0.0
-53.293000000000006,0.0
-53.283,0.0
-53.272999999999996,0.0
-53.263000000000005,0.0
-53.253,0.0
-53.242999999999995,0.0
-53.233000000000004,0.0
-53.223,0.0
-53.212999999999994,0.0
-53.203,0.0
-53.193,0.0
-53.18300000000001,0.0
-53.173,0.0
-53.163,0.0
-53.153000000000006,0.0
-53.143,0.0
-53.132999999999996,0.0
-53.123000000000005,0.0
-53.113,0.0
-53.102999999999994,0.0
-53.093,0.0
-53.083,0.0
-53.07299999999999,0.0
-53.063,0.0
-53.053,0.0
-53.043000000000006,0.0
-53.033,0.0
-53.022999999999996,0.0
-53.013000000000005,0.0
-53.003,0.0
-52.992999999999995,0.0
-52.983000000000004,0.0
-52.973,0.0
-52.962999999999994,0.0
-52.953,0.0
-52.943,0.0
-52.93300000000001,0.0
-52.923,0.0
-52.913,0.0
-52.903000000000006,0.0
-52.893,0.0
-52.882999999999996,0.0
-52.873000000000005,0.0
-52.863,0.0
-52.852999999999994,0.0
-52.843,0.0
-52.833,0.0
-52.82299999999999,0.0
-52.813,0.0
-52.803,0.0
-52.793000000000006,0.0
-52.783,0.0
-52.772999999999996,0.0
-52.763000000000005,0.0
-52.753,0.0
-52.742999999999995,0.0
-52.733000000000004,0.0
-52.723,0.0
-52.712999999999994,0.0
-52.703,0.0
-52.693,0.0
-52.68300000000001,0.0
-52.673,0.0
-52.663,0.0
-52.653000000000006,0.0
-52.643,0.0
-52.632999999999996,0.0
-52.623000000000005,0.0
-52.613,0.0
-52.602999999999994,0.0
-52.593,0.0
-52.583,0.0
-52.57299999999999,0.0
-52.563,0.0
-52.553,0.0
-52.543000000000006,0.0
-52.533,0.0
-52.522999999999996,0.0
-52.513000000000005,0.0
-52.503,0.0
-52.492999999999995,0.0
-52.483000000000004,0.0
-52.473,0.0
-52.462999999999994,0.0
-52.453,0.0
-52.443,0.0
-52.43300000000001,0.0
-52.423,0.0
-52.413,0.0
-52.403000000000006,0.0
-52.393,0.0
-52.382999999999996,0.0
-52.373000000000005,0.0
-52.363,0.0
-52.352999999999994,0.0
-52.343,0.0
-52.333,0.0
-52.32299999999999,0.0
-52.313,0.0
-52.303,0.0
-52.293000000000006,0.0
-52.283,0.0
-52.272999999999996,0.0
-52.263000000000005,0.0
-52.253,0.0
-52.242999999999995,0.0
-52.233000000000004,0.0
-52.223,0.0
-52.212999999999994,0.0
-52.203,0.0
-52.193,0.0
-52.18300000000001,0.0
-52.173,0.0
-52.163,0.0
-52.153000000000006,0.0
-52.143,0.0
-52.132999999999996,0.0
-52.123000000000005,0.0
-52.113,0.0
-52.102999999999994,0.0
-52.093,0.0
-52.083,0.0
-52.07299999999999,0.0
-52.063,0.0
-52.053,0.0
-52.043000000000006,0.0
-52.033,0.0
-52.022999999999996,0.0
-52.013000000000005,0.0
-52.003,0.0
-51.992999999999995,0.0
-51.983000000000004,0.0
-51.973,0.0
-51.962999999999994,0.0
-51.953,0.0
-51.943,0.0
-51.93300000000001,0.0
-51.923,0.0
-51.913,0.0
-51.903000000000006,0.0
-51.893,0.0
-51.882999999999996,0.0
-51.873000000000005,0.0
-51.863,0.0
-51.852999999999994,0.0
-51.843,0.0
-51.833,0.0
-51.82299999999999,0.0
-51.813,0.0
-51.803,0.0
-51.793000000000006,0.0
-51.783,0.0
-51.772999999999996,0.0
-51.763000000000005,0.0
-51.753,0.0
-51.742999999999995,0.0
-51.733000000000004,0.0
-51.723,0.0
-51.712999999999994,0.0
-51.703,0.0
-51.693,0.0
-51.68300000000001,0.0
-51.673,0.0
-51.663,0.0
-51.653000000000006,0.0
-51.643,0.0
-51.632999999999996,0.0
-51.623000000000005,0.0
-51.613,0.0
-51.602999999999994,0.0
-51.593,0.0
-51.583,0.0
-51.57299999999999,0.0
-51.563,0.0
-51.553,0.0
-51.543000000000006,0.0
-51.533,0.0
-51.522999999999996,0.0
-51.513000000000005,0.0
-51.503,0.0
-51.492999999999995,0.0
-51.483000000000004,0.0
-51.473,0.0
-51.462999999999994,0.0
-51.453,0.0
-51.443,0.0
-51.43300000000001,0.0
-51.423,0.0
-51.413,0.0
-51.403000000000006,0.0
-51.393,0.0
-51.382999999999996,0.0
-51.373000000000005,0.0
-51.363,0.0
-51.352999999999994,0.0
-51.343,0.0
-51.333,0.0
-51.32299999999999,0.0
-51.313,0.0
-51.303,0.0
-51.293000000000006,0.0
-51.283,0.0
-51.272999999999996,0.0
-51.263000000000005,0.0
-51.253,0.0
-51.242999999999995,0.0
-51.233000000000004,0.0
-51.223,0.0
-51.212999999999994,0.0
-51.203,0.0
-51.193,0.0
-51.18300000000001,0.0
-51.173,0.0
-51.163,0.0
-51.153000000000006,0.0
-51.143,0.0
-51.132999999999996,0.0
-51.123000000000005,0.0
-51.113,0.0
-51.102999999999994,0.0
-51.093,0.0
-51.083,0.0
-51.07299999999999,0.0
-51.063,0.0
-51.053,0.0
-51.043000000000006,0.0
-51.033,0.0
-51.022999999999996,0.0
-51.013000000000005,0.0
-51.003,0.0
-50.992999999999995,0.0
-50.983000000000004,0.0
-50.973,0.0
-50.962999999999994,0.0
-50.953,0.0
-50.943,0.0
-50.93300000000001,0.0
-50.923,0.0
-50.913,0.0
-50.903000000000006,0.0
-50.893,0.0
-50.882999999999996,0.0
-50.873000000000005,0.0
-50.863,0.0
-50.852999999999994,0.0
-50.843,0.0
-50.833,0.0
-50.82299999999999,0.0
-50.813,0.0
-50.803,0.0
-50.793000000000006,0.0
-50.783,0.0
-50.772999999999996,0.0
-50.763000000000005,0.0
-50.753,0.0
-50.742999999999995,0.0
-50.733000000000004,0.0
-50.723,0.0
-50.712999999999994,0.0
-50.703,0.0
-50.693,0.0
-50.68300000000001,0.0
-50.673,0.0
-50.663,0.0
-50.653000000000006,0.0
-50.643,0.0
-50.632999999999996,0.0
-50.623000000000005,0.0
-50.613,0.0
-50.602999999999994,0.0
-50.593,0.0
-50.583,0.0
-50.57299999999999,0.0
-50.563,0.0
-50.553,0.0
-50.543000000000006,0.0
-50.533,0.0
-50.522999999999996,0.0
-50.513000000000005,0.0
-50.503,0.0
-50.492999999999995,0.0
-50.483000000000004,0.0
-50.473,0.0
-50.462999999999994,0.0
-50.453,0.0
-50.443,0.0
