,Mo_4dz2
-61.57639999999999,5.9e-09
-61.5664,3.4000000000000003e-09
-61.5564,1.935e-09
-61.546400000000006,1.091e-09
-61.5364,6.08e-10
-61.526399999999995,3.36e-10
-61.516400000000004,1.834e-10
-61.5064,9.91e-11
-61.496399999999994,5.3e-11
-61.4864,2.803e-11
-61.4764,1.467e-11
-61.46639999999999,7.59e-12
-61.4564,3.8900000000000006e-12
-61.4464,1.969e-12
-61.436400000000006,9.88e-13
-61.4264,4.91e-13
-61.416399999999996,2.33e-13
-61.406400000000005,1.133e-13
-61.3964,4.61e-14
-61.386399999999995,2.207e-14
-61.376400000000004,0.0
-61.3664,0.0
-61.356399999999994,0.0
-61.3464,0.0
-61.3364,0.0
-61.32639999999999,0.0
-61.3164,0.0
-61.3064,0.0
-61.296400000000006,0.0
-61.2864,0.0
-61.276399999999995,0.0
-61.266400000000004,0.0
-61.2564,0.0
-61.246399999999994,0.0
-61.2364,0.0
-61.2264,0.0
-61.21639999999999,0.0
-61.2064,0.0
-61.1964,0.0
-61.186400000000006,0.0
-61.1764,0.0
-61.166399999999996,0.0
-61.156400000000005,0.0
-61.1464,0.0
-61.136399999999995,0.0
-61.126400000000004,0.0
-61.1164,0.0
-61.106399999999994,0.0
-61.0964,0.0
-61.0864,0.0
-61.07639999999999,0.0
-61.0664,0.0
-61.0564,0.0
-61.046400000000006,0.0
-61.0364,0.0
-61.026399999999995,0.0
-61.016400000000004,0.0
-61.0064,0.0
-60.996399999999994,0.0
-60.9864,0.0
-60.9764,0.0
-60.96639999999999,0.0
-60.9564,0.0
-60.9464,0.0
-60.936400000000006,0.0
-60.9264,0.0
-60.916399999999996,0.0
-60.906400000000005,0.0
-60.8964,0.0
-60.886399999999995,0.0
-60.876400000000004,0.0
-60.8664,0.0
-60.856399999999994,0.0
-60.8464,0.0
-60.8364,0.0
-60.82639999999999,0.0
-60.8164,0.0
-60.8064,0.0
-60.796400000000006,0.0
-60.7864,0.0
-60.776399999999995,0.0
-60.766400000000004,0.0
-60.7564,0.0
-60.746399999999994,0.0
-60.7364,0.0
-60.7264,0.0
-60.71639999999999,0.0
-60.7064,0.0
-60.6964,0.0
-60.686400000000006,0.0
-60.6764,0.0
-60.666399999999996,0.0
-60.656400000000005,0.0
-60.6464,0.0
-60.636399999999995,0.0
-60.626400000000004,0.0
-60.6164,0.0
-60.606399999999994,0.0
-60.5964,0.0
-60.5864,0.0
-60.57639999999999,0.0
-60.5664,0.0
-60.5564,0.0
-60.546400000000006,0.0
-60.5364,0.0
-60.526399999999995,0.0
-60.516400000000004,0.0
-60.5064,0.0
-60.496399999999994,0.0
-60.4864,0.0
-60.4764,0.0
-60.46639999999999,0.0
-60.4564,0.0
-60.4464,0.0
-60.436400000000006,0.0
-60.4264,0.0
-60.416399999999996,0.0
-60.406400000000005,0.0
-60.3964,0.0
-60.386399999999995,0.0
-60.376400000000004,0.0
-60.3664,0.0
-60.356399999999994,0.0
-60.3464,0.0
-60.3364,0.0
-60.32639999999999,0.0
-60.3164,0.0
-60.3064,0.0
-60.296400000000006,0.0
-60.2864,0.0
-60.276399999999995,0.0
-60.266400000000004,0.0
-60.2564,0.0
-60.246399999999994,0.0
-60.2364,0.0
-60.2264,0.0
-60.21639999999999,0.0
-60.2064,0.0
-60.1964,0.0
-60.186400000000006,0.0
-60.1764,0.0
-60.166399999999996,0.0
-60.156400000000005,0.0
-60.1464,0.0
-60.136399999999995,0.0
-60.126400000000004,0.0
-60.1164,0.0
-60.106399999999994,0.0
-60.0964,0.0
-60.0864,0.0
-60.07639999999999,0.0
-60.0664,0.0
-60.0564,0.0
-60.046400000000006,0.0
-60.0364,0.0
-60.026399999999995,0.0
-60.016400000000004,0.0
-60.0064,0.0
-59.996399999999994,0.0
-59.9864,0.0
-59.9764,0.0
-59.96639999999999,0.0
-59.9564,0.0
-59.9464,0.0
-59.936400000000006,0.0
-59.9264,0.0
-59.916399999999996,0.0
-59.906400000000005,0.0
-59.8964,0.0
-59.886399999999995,0.0
-59.876400000000004,0.0
-59.8664,0.0
-59.856399999999994,0.0
-59.8464,0.0
-59.8364,0.0
-59.82639999999999,0.0
-59.8164,0.0
-59.8064,0.0
-59.796400000000006,0.0
-59.7864,0.0
-59.776399999999995,0.0
-59.766400000000004,0.0
-59.7564,0.0
-59.746399999999994,0.0
-59.7364,0.0
-59.7264,0.0
-59.71639999999999,0.0
-59.7064,0.0
-59.6964,0.0
-59.686400000000006,0.0
-59.6764,0.0
-59.666399999999996,0.0
-59.656400000000005,0.0
-59.6464,0.0
-59.636399999999995,0.0
-59.626400000000004,0.0
-59.6164,0.0
-59.606399999999994,0.0
-59.5964,0.0
-59.5864,0.0
-59.57639999999999,0.0
-59.5664,0.0
-59.5564,0.0
-59.546400000000006,0.0
-59.5364,0.0
-59.526399999999995,0.0
-59.516400000000004,0.0
-59.5064,0.0
-59.496399999999994,0.0
-59.4864,0.0
-59.4764,0.0
-59.46639999999999,0.0
-59.4564,0.0
-59.4464,0.0
-59.436400000000006,0.0
-59.4264,0.0
-59.416399999999996,0.0
-59.406400000000005,0.0
-59.3964,0.0
-59.386399999999995,0.0
-59.376400000000004,0.0
-59.3664,0.0
-59.356399999999994,0.0
-59.3464,0.0
-59.3364,0.0
-59.32639999999999,0.0
-59.3164,0.0
-59.3064,0.0
-59.296400000000006,0.0
-59.2864,0.0
-59.276399999999995,0.0
-59.266400000000004,0.0
-59.2564,0.0
-59.246399999999994,0.0
-59.2364,0.0
-59.2264,0.0
-59.21639999999999,0.0
-59.2064,0.0
-59.1964,0.0
-59.186400000000006,0.0
-59.1764,0.0
-59.166399999999996,0.0
-59.156400000000005,0.0
-59.1464,0.0
-59.136399999999995,0.0
-59.126400000000004,0.0
-59.1164,0.0
-59.106399999999994,0.0
-59.0964,0.0
-59.0864,0.0
-59.07639999999999,0.0
-59.0664,0.0
-59.0564,0.0
-59.046400000000006,0.0
-59.0364,0.0
-59.026399999999995,0.0
-59.016400000000004,0.0
-59.0064,0.0
-58.996399999999994,0.0
-58.9864,0.0
-58.9764,0.0
-58.96639999999999,0.0
-58.9564,0.0
-58.9464,0.0
-58.936400000000006,0.0
-58.9264,0.0
-58.916399999999996,0.0
-58.906400000000005,0.0
-58.8964,0.0
-58.886399999999995,0.0
-58.876400000000004,0.0
-58.8664,0.0
-58.856399999999994,0.0
-58.8464,0.0
-58.8364,0.0
-58.82639999999999,0.0
-58.8164,0.0
-58.8064,0.0
-58.796400000000006,0.0
-58.7864,0.0
-58.776399999999995,0.0
-58.766400000000004,0.0
-58.7564,0.0
-58.746399999999994,0.0
-58.7364,0.0
-58.7264,0.0
-58.71639999999999,0.0
-58.7064,0.0
-58.6964,0.0
-58.686400000000006,0.0
-58.6764,0.0
-58.666399999999996,0.0
-58.656400000000005,0.0
-58.6464,0.0
-58.636399999999995,0.0
-58.626400000000004,0.0
-58.6164,0.0
-58.606399999999994,0.0
-58.5964,0.0
-58.5864,0.0
-58.57639999999999,0.0
-58.5664,0.0
-58.5564,0.0
-58.546400000000006,0.0
-58.5364,0.0
-58.526399999999995,0.0
-58.516400000000004,0.0
-58.5064,0.0
-58.496399999999994,0.0
-58.4864,0.0
-58.4764,0.0
-58.46639999999999,0.0
-58.4564,0.0
-58.4464,0.0
-58.436400000000006,0.0
-58.4264,0.0
-58.416399999999996,0.0
-58.406400000000005,0.0
-58.3964,0.0
-58.386399999999995,0.0
-58.376400000000004,0.0
-58.3664,0.0
-58.356399999999994,0.0
-58.3464,0.0
-58.3364,0.0
-58.32639999999999,0.0
-58.3164,0.0
-58.3064,0.0
-58.296400000000006,0.0
-58.2864,0.0
-58.276399999999995,0.0
-58.266400000000004,0.0
-58.2564,0.0
-58.246399999999994,0.0
-58.2364,0.0
-58.2264,0.0
-58.21639999999999,0.0
-58.2064,0.0
-58.1964,0.0
-58.186400000000006,0.0
-58.1764,0.0
-58.166399999999996,0.0
-58.156400000000005,0.0
-58.1464,0.0
-58.136399999999995,0.0
-58.126400000000004,0.0
-58.1164,0.0
-58.106399999999994,0.0
-58.0964,0.0
-58.0864,0.0
-58.07639999999999,0.0
-58.0664,0.0
-58.0564,0.0
-58.046400000000006,0.0
-58.0364,0.0
-58.026399999999995,0.0
-58.016400000000004,0.0
-58.0064,0.0
-57.996399999999994,0.0
-57.9864,0.0
-57.9764,0.0
-57.96639999999999,0.0
-57.9564,0.0
-57.9464,0.0
-57.936400000000006,0.0
-57.9264,0.0
-57.916399999999996,0.0
-57.906400000000005,0.0
-57.8964,0.0
-57.886399999999995,0.0
-57.876400000000004,0.0
-57.8664,0.0
-57.856399999999994,0.0
-57.8464,0.0
-57.8364,0.0
-57.82639999999999,0.0
-57.8164,0.0
-57.8064,0.0
-57.796400000000006,0.0
-57.7864,0.0
-57.776399999999995,0.0
-57.766400000000004,0.0
-57.7564,0.0
-57.746399999999994,0.0
-57.7364,0.0
-57.7264,0.0
-57.71639999999999,0.0
-57.7064,0.0
-57.6964,0.0
-57.686400000000006,0.0
-57.6764,0.0
-57.666399999999996,0.0
-57.656400000000005,0.0
-57.6464,0.0
-57.636399999999995,0.0
-57.626400000000004,0.0
-57.6164,0.0
-57.606399999999994,0.0
-57.5964,0.0
-57.5864,0.0
-57.57639999999999,0.0
-57.5664,0.0
-57.5564,0.0
-57.546400000000006,0.0
-57.5364,0.0
-57.526399999999995,0.0
-57.516400000000004,0.0
-57.5064,0.0
-57.496399999999994,0.0
-57.4864,0.0
-57.4764,0.0
-57.46639999999999,0.0
-57.4564,0.0
-57.4464,0.0
-57.436400000000006,0.0
-57.4264,0.0
-57.416399999999996,0.0
-57.406400000000005,0.0
-57.3964,0.0
-57.386399999999995,0.0
-57.376400000000004,0.0
-57.3664,0.0
-57.356399999999994,0.0
-57.3464,0.0
-57.3364,0.0
-57.32639999999999,0.0
-57.3164,0.0
-57.3064,0.0
-57.296400000000006,0.0
-57.2864,0.0
-57.276399999999995,0.0
-57.266400000000004,0.0
-57.2564,0.0
-57.246399999999994,0.0
-57.2364,0.0
-57.2264,0.0
-57.21639999999999,0.0
-57.2064,0.0
-57.1964,0.0
-57.186400000000006,0.0
-57.1764,0.0
-57.166399999999996,0.0
-57.156400000000005,0.0
-57.1464,0.0
-57.136399999999995,0.0
-57.126400000000004,0.0
-57.1164,0.0
-57.106399999999994,0.0
-57.0964,0.0
-57.0864,0.0
-57.07639999999999,0.0
-57.0664,0.0
-57.0564,0.0
-57.046400000000006,0.0
-57.0364,0.0
-57.026399999999995,0.0
-57.016400000000004,0.0
-57.0064,0.0
-56.996399999999994,0.0
-56.9864,0.0
-56.9764,0.0
-56.96639999999999,0.0
-56.9564,0.0
-56.9464,0.0
-56.936400000000006,0.0
-56.9264,0.0
-56.916399999999996,0.0
-56.906400000000005,0.0
-56.8964,0.0
-56.886399999999995,0.0
-56.876400000000004,0.0
-56.8664,0.0
-56.856399999999994,0.0
-56.8464,0.0
-56.8364,0.0
-56.82639999999999,0.0
-56.8164,0.0
-56.8064,0.0
-56.796400000000006,0.0
-56.7864,0.0
-56.776399999999995,0.0
-56.766400000000004,0.0
-56.7564,0.0
-56.746399999999994,0.0
-56.7364,0.0
-56.7264,0.0
-56.71639999999999,0.0
-56.7064,0.0
-56.6964,0.0
-56.686400000000006,0.0
-56.6764,0.0
-56.666399999999996,0.0
-56.656400000000005,0.0
-56.6464,0.0
-56.636399999999995,0.0
-56.626400000000004,0.0
-56.6164,0.0
-56.606399999999994,0.0
-56.5964,0.0
-56.5864,0.0
-56.57639999999999,0.0
-56.5664,0.0
-56.5564,0.0
-56.546400000000006,0.0
-56.5364,0.0
-56.526399999999995,0.0
-56.516400000000004,0.0
-56.5064,0.0
-56.496399999999994,0.0
-56.4864,0.0
-56.4764,0.0
-56.46639999999999,0.0
-56.4564,0.0
-56.4464,0.0
-56.436400000000006,0.0
-56.4264,0.0
-56.416399999999996,0.0
-56.406400000000005,0.0
-56.3964,0.0
-56.386399999999995,0.0
-56.376400000000004,0.0
-56.3664,0.0
-56.356399999999994,0.0
-56.3464,0.0
-56.3364,0.0
-56.32639999999999,0.0
-56.3164,0.0
-56.3064,0.0
-56.296400000000006,0.0
-56.2864,0.0
-56.276399999999995,0.0
-56.266400000000004,0.0
-56.2564,0.0
-56.246399999999994,0.0
-56.2364,0.0
-56.2264,0.0
-56.21639999999999,0.0
-56.2064,0.0
-56.1964,0.0
-56.186400000000006,0.0
-56.1764,0.0
-56.166399999999996,0.0
-56.156400000000005,0.0
-56.1464,0.0
-56.136399999999995,0.0
-56.126400000000004,0.0
-56.1164,0.0
-56.106399999999994,0.0
-56.0964,0.0
-56.0864,0.0
-56.07639999999999,0.0
-56.0664,0.0
-56.0564,0.0
-56.046400000000006,0.0
-56.0364,0.0
-56.026399999999995,0.0
-56.016400000000004,0.0
-56.0064,0.0
-55.996399999999994,0.0
-55.9864,0.0
-55.9764,0.0
-55.96639999999999,0.0
-55.9564,0.0
-55.9464,0.0
-55.936400000000006,0.0
-55.9264,0.0
-55.916399999999996,0.0
-55.906400000000005,0.0
-55.8964,0.0
-55.886399999999995,0.0
-55.876400000000004,0.0
-55.8664,0.0
-55.856399999999994,0.0
-55.8464,0.0
-55.8364,0.0
-55.82639999999999,0.0
-55.8164,0.0
-55.8064,0.0
-55.796400000000006,0.0
-55.7864,0.0
-55.776399999999995,0.0
-55.766400000000004,0.0
-55.7564,0.0
-55.746399999999994,0.0
-55.7364,0.0
-55.7264,0.0
-55.71639999999999,0.0
-55.7064,0.0
-55.6964,0.0
-55.686400000000006,0.0
-55.6764,0.0
-55.666399999999996,0.0
-55.656400000000005,0.0
-55.6464,0.0
-55.636399999999995,0.0
-55.626400000000004,0.0
-55.6164,0.0
-55.606399999999994,0.0
-55.5964,0.0
-55.5864,0.0
-55.57639999999999,0.0
-55.5664,0.0
-55.5564,0.0
-55.546400000000006,0.0
-55.5364,0.0
-55.526399999999995,0.0
-55.516400000000004,0.0
-55.5064,0.0
-55.496399999999994,0.0
-55.4864,0.0
-55.4764,0.0
-55.46639999999999,0.0
-55.4564,0.0
-55.4464,0.0
-55.436400000000006,0.0
-55.4264,0.0
-55.416399999999996,0.0
-55.406400000000005,0.0
-55.3964,0.0
-55.386399999999995,0.0
-55.376400000000004,0.0
-55.3664,0.0
-55.356399999999994,0.0
-55.3464,0.0
-55.3364,0.0
-55.32639999999999,0.0
-55.3164,0.0
-55.3064,0.0
-55.296400000000006,0.0
-55.2864,0.0
-55.276399999999995,0.0
-55.266400000000004,0.0
-55.2564,0.0
-55.246399999999994,0.0
-55.2364,0.0
-55.2264,0.0
-55.21639999999999,0.0
-55.2064,0.0
-55.1964,0.0
-55.186400000000006,0.0
-55.1764,0.0
-55.166399999999996,0.0
-55.156400000000005,0.0
-55.1464,0.0
-55.136399999999995,0.0
-55.126400000000004,0.0
-55.1164,0.0
-55.106399999999994,0.0
-55.0964,0.0
-55.0864,0.0
-55.07639999999999,0.0
-55.0664,0.0
-55.0564,0.0
-55.046400000000006,0.0
-55.0364,0.0
-55.026399999999995,0.0
-55.016400000000004,0.0
-55.0064,0.0
-54.996399999999994,0.0
-54.9864,0.0
-54.9764,0.0
-54.96639999999999,0.0
-54.9564,0.0
-54.9464,0.0
-54.936400000000006,0.0
-54.9264,0.0
-54.916399999999996,0.0
-54.906400000000005,0.0
-54.8964,0.0
-54.886399999999995,0.0
-54.876400000000004,0.0
-54.8664,0.0
-54.856399999999994,0.0
-54.8464,0.0
-54.8364,0.0
-54.82639999999999,0.0
-54.8164,0.0
-54.8064,0.0
-54.796400000000006,0.0
-54.7864,0.0
-54.776399999999995,0.0
-54.766400000000004,0.0
-54.7564,0.0
-54.746399999999994,0.0
-54.7364,0.0
-54.7264,0.0
-54.71639999999999,0.0
-54.7064,0.0
-54.6964,0.0
-54.686400000000006,0.0
-54.6764,0.0
-54.666399999999996,0.0
-54.656400000000005,0.0
-54.6464,0.0
-54.636399999999995,0.0
-54.626400000000004,0.0
-54.6164,0.0
-54.606399999999994,0.0
-54.5964,0.0
-54.5864,0.0
-54.57639999999999,0.0
-54.5664,0.0
-54.5564,0.0
-54.546400000000006,0.0
-54.5364,0.0
-54.526399999999995,0.0
-54.516400000000004,0.0
-54.5064,0.0
-54.496399999999994,0.0
-54.4864,0.0
-54.4764,0.0
-54.46639999999999,0.0
-54.4564,0.0
-54.4464,0.0
-54.436400000000006,0.0
-54.4264,0.0
-54.416399999999996,0.0
-54.406400000000005,0.0
-54.3964,0.0
-54.386399999999995,0.0
-54.376400000000004,0.0
-54.3664,0.0
-54.356399999999994,0.0
-54.3464,0.0
-54.3364,0.0
-54.32639999999999,0.0
-54.3164,0.0
-54.3064,0.0
-54.296400000000006,0.0
-54.2864,0.0
-54.276399999999995,0.0
-54.266400000000004,0.0
-54.2564,0.0
-54.246399999999994,0.0
-54.2364,0.0
-54.2264,0.0
-54.21639999999999,0.0
-54.2064,0.0
-54.1964,0.0
-54.186400000000006,0.0
-54.1764,0.0
-54.166399999999996,0.0
-54.156400000000005,0.0
-54.1464,0.0
-54.136399999999995,0.0
-54.126400000000004,0.0
-54.1164,0.0
-54.106399999999994,0.0
-54.0964,0.0
-54.0864,0.0
-54.07639999999999,0.0
-54.0664,0.0
-54.0564,0.0
-54.046400000000006,0.0
-54.0364,0.0
-54.026399999999995,0.0
-54.016400000000004,0.0
-54.0064,0.0
-53.996399999999994,0.0
-53.9864,0.0
-53.9764,0.0
-53.96639999999999,0.0
-53.9564,0.0
-53.9464,0.0
-53.936400000000006,0.0
-53.9264,0.0
-53.916399999999996,0.0
-53.906400000000005,0.0
-53.8964,0.0
-53.886399999999995,0.0
-53.876400000000004,0.0
-53.8664,0.0
-53.856399999999994,0.0
-53.8464,0.0
-53.8364,0.0
-53.82639999999999,0.0
-53.8164,0.0
-53.8064,0.0
-53.796400000000006,0.0
-53.7864,0.0
-53.776399999999995,0.0
-53.766400000000004,0.0
-53.7564,0.0
-53.746399999999994,0.0
-53.7364,0.0
-53.7264,0.0
-53.71639999999999,0.0
-53.7064,0.0
-53.6964,0.0
-53.686400000000006,0.0
-53.6764,0.0
-53.666399999999996,0.0
-53.656400000000005,0.0
-53.6464,0.0
-53.636399999999995,0.0
-53.626400000000004,0.0
-53.6164,0.0
-53.606399999999994,0.0
-53.5964,0.0
-53.5864,0.0
-53.57639999999999,0.0
-53.5664,0.0
-53.5564,0.0
-53.546400000000006,0.0
-53.5364,0.0
-53.526399999999995,0.0
-53.516400000000004,0.0
-53.5064,0.0
-53.496399999999994,0.0
-53.4864,0.0
-53.4764,0.0
-53.46639999999999,0.0
-53.4564,0.0
-53.4464,0.0
-53.436400000000006,0.0
-53.4264,0.0
-53.416399999999996,0.0
-53.406400000000005,0.0
-53.3964,0.0
-53.386399999999995,0.0
-53.376400000000004,0.0
-53.3664,0.0
-53.356399999999994,0.0
-53.3464,0.0
-53.3364,0.0
-53.32639999999999,0.0
-53.3164,0.0
-53.3064,0.0
-53.296400000000006,0.0
-53.2864,0.0
-53.276399999999995,0.0
-53.266400000000004,0.0
-53.2564,0.0
-53.246399999999994,0.0
-53.2364,0.0
-53.2264,0.0
-53.21639999999999,0.0
-53.2064,0.0
-53.1964,0.0
-53.186400000000006,0.0
-53.1764,0.0
-53.166399999999996,0.0
-53.156400000000005,0.0
-53.1464,0.0
-53.136399999999995,0.0
-53.126400000000004,0.0
-53.1164,0.0
-53.106399999999994,0.0
-53.0964,0.0
-53.0864,0.0
-53.07639999999999,0.0
-53.0664,0.0
-53.0564,0.0
-53.046400000000006,0.0
-53.0364,0.0
-53.026399999999995,0.0
-53.016400000000004,0.0
-53.0064,0.0
-52.996399999999994,0.0
-52.9864,0.0
-52.9764,0.0
-52.96639999999999,0.0
-52.9564,0.0
-52.9464,0.0
-52.936400000000006,0.0
-52.9264,0.0
-52.916399999999996,0.0
-52.906400000000005,0.0
-52.8964,0.0
-52.886399999999995,0.0
-52.876400000000004,0.0
-52.8664,0.0
-52.856399999999994,0.0
-52.8464,0.0
-52.8364,0.0
-52.82639999999999,0.0
-52.8164,0.0
-52.8064,0.0
-52.796400000000006,0.0
-52.7864,0.0
-52.776399999999995,0.0
-52.766400000000004,0.0
-52.7564,0.0
-52.746399999999994,0.0
-52.7364,0.0
-52.7264,0.0
-52.71639999999999,0.0
-52.7064,0.0
-52.6964,0.0
-52.686400000000006,0.0
-52.6764,0.0
-52.666399999999996,0.0
-52.656400000000005,0.0
-52.6464,0.0
-52.636399999999995,0.0
-52.626400000000004,0.0
-52.6164,0.0
-52.606399999999994,0.0
-52.5964,0.0
-52.5864,0.0
-52.57639999999999,0.0
-52.5664,0.0
-52.5564,0.0
-52.546400000000006,0.0
-52.5364,0.0
-52.526399999999995,0.0
-52.516400000000004,0.0
-52.5064,0.0
-52.496399999999994,0.0
-52.4864,0.0
-52.4764,0.0
-52.46639999999999,0.0
-52.4564,0.0
-52.4464,0.0
-52.436400000000006,0.0
-52.4264,0.0
-52.416399999999996,0.0
-52.406400000000005,0.0
-52.3964,0.0
-52.386399999999995,0.0
-52.376400000000004,0.0
-52.3664,0.0
-52.356399999999994,0.0
-52.3464,0.0
-52.3364,0.0
-52.32639999999999,0.0
-52.3164,0.0
-52.3064,0.0
-52.296400000000006,0.0
-52.2864,0.0
-52.276399999999995,0.0
-52.266400000000004,0.0
-52.2564,0.0
-52.246399999999994,0.0
-52.2364,0.0
-52.2264,0.0
-52.21639999999999,0.0
-52.2064,0.0
-52.1964,0.0
-52.186400000000006,0.0
-52.1764,0.0
-52.166399999999996,0.0
-52.156400000000005,0.0
-52.1464,0.0
-52.136399999999995,0.0
-52.126400000000004,0.0
-52.1164,0.0
-52.106399999999994,0.0
-52.0964,0.0
-52.0864,0.0
-52.07639999999999,0.0
-52.0664,0.0
-52.0564,0.0
-52.046400000000006,0.0
-52.0364,0.0
-52.026399999999995,0.0
-52.016400000000004,0.0
-52.0064,0.0
-51.996399999999994,0.0
-51.9864,0.0
-51.9764,0.0
-51.96639999999999,0.0
-51.9564,0.0
-51.9464,0.0
-51.936400000000006,0.0
-51.9264,0.0
-51.916399999999996,0.0
-51.906400000000005,0.0
-51.8964,0.0
-51.886399999999995,0.0
-51.876400000000004,0.0
-51.8664,0.0
-51.856399999999994,0.0
-51.8464,0.0
-51.8364,0.0
-51.82639999999999,0.0
-51.8164,0.0
-51.8064,0.0
-51.796400000000006,0.0
-51.7864,0.0
-51.776399999999995,0.0
-51.766400000000004,0.0
-51.7564,0.0
-51.746399999999994,0.0
-51.7364,0.0
-51.7264,0.0
-51.71639999999999,0.0
-51.7064,0.0
-51.6964,0.0
-51.686400000000006,0.0
-51.6764,0.0
-51.666399999999996,0.0
-51.656400000000005,0.0
-51.6464,0.0
-51.636399999999995,0.0
-51.626400000000004,0.0
-51.6164,0.0
-51.606399999999994,0.0
-51.5964,0.0
-51.5864,0.0
-51.57639999999999,0.0
-51.5664,0.0
-51.5564,0.0
-51.546400000000006,0.0
-51.5364,0.0
-51.526399999999995,0.0
-51.516400000000004,0.0
-51.5064,0.0
-51.496399999999994,0.0
-51.4864,0.0
-51.4764,0.0
-51.46639999999999,0.0
-51.4564,0.0
-51.4464,0.0
-51.436400000000006,0.0
-51.4264,0.0
-51.416399999999996,0.0
-51.406400000000005,0.0
-51.3964,0.0
-51.386399999999995,0.0
-51.376400000000004,0.0
-51.3664,0.0
-51.356399999999994,0.0
-51.3464,0.0
-51.3364,0.0
-51.32639999999999,0.0
-51.3164,0.0
-51.3064,0.0
-51.296400000000006,0.0
-51.2864,0.0
-51.276399999999995,0.0
-51.266400000000004,0.0
-51.2564,0.0
-51.246399999999994,0.0
-51.2364,0.0
-51.2264,0.0
-51.21639999999999,0.0
-51.2064,0.0
-51.1964,0.0
-51.186400000000006,0.0
-51.1764,0.0
-51.166399999999996,0.0
-51.156400000000005,0.0
-51.1464,0.0
-51.136399999999995,0.0
-51.126400000000004,0.0
-51.1164,0.0
-51.106399999999994,0.0
-51.0964,0.0
-51.0864,0.0
-51.07639999999999,0.0
-51.0664,0.0
-51.0564,0.0
-51.046400000000006,0.0
-51.0364,0.0
-51.026399999999995,0.0
-51.016400000000004,0.0
-51.0064,0.0
-50.996399999999994,0.0
-50.9864,0.0
-50.9764,0.0
-50.96639999999999,0.0
-50.9564,0.0
-50.9464,0.0
-50.936400000000006,0.0
-50.9264,0.0
-50.916399999999996,0.0
-50.906400000000005,0.0
-50.8964,0.0
-50.886399999999995,0.0
-50.876400000000004,0.0
-50.8664,0.0
-50.856399999999994,0.0
-50.8464,0.0
-50.8364,0.0
-50.82639999999999,0.0
-50.8164,0.0
-50.8064,0.0
-50.796400000000006,0.0
-50.7864,0.0
-50.776399999999995,0.0
-50.766400000000004,0.0
-50.7564,0.0
-50.746399999999994,0.0
-50.7364,0.0
-50.7264,0.0
-50.71639999999999,0.0
-50.7064,0.0
-50.6964,0.0
-50.686400000000006,0.0
-50.6764,0.0
-50.666399999999996,0.0
-50.656400000000005,0.0
