,Pd_3px
-81.1398,0.0
-81.1298,0.0
-81.1198,0.0
-81.10979999999999,0.0
-81.0998,0.0
-81.0898,0.0
-81.07979999999999,0.0
-81.0698,0.0
-81.0598,0.0
-81.04979999999999,0.0
-81.0398,0.0
-81.0298,0.0
-81.01979999999999,0.0
-81.0098,0.0
-80.9998,0.0
-80.9898,0.0
-80.9798,0.0
-80.96979999999999,0.0
-80.9598,0.0
-80.9498,0.0
-80.93979999999999,0.0
-80.9298,0.0
-80.9198,0.0
-80.90979999999999,0.0
-80.8998,0.0
-80.8898,0.0
-80.8798,0.0
-80.8698,0.0
-80.85979999999999,0.0
-80.8498,0.0
-80.8398,0.0
-80.82979999999999,0.0
-80.8198,0.0
-80.8098,0.0
-80.79979999999999,0.0
-80.7898,0.0
-80.7798,0.0
-80.76979999999999,0.0
-80.7598,0.0
-80.7498,0.0
-80.7398,0.0
-80.7298,0.0
-80.71979999999999,0.0
-80.7098,0.0
-80.6998,0.0
-80.68979999999999,0.0
-80.6798,0.0
-80.6698,0.0
-80.65979999999999,0.0
-80.6498,0.0
-80.6398,0.0
-80.6298,0.0
-80.6198,0.0
-80.60979999999999,0.0
-80.5998,0.0
-80.5898,0.0
-80.57979999999999,0.0
-80.5698,0.0
-80.5598,0.0
-80.54979999999999,0.0
-80.5398,0.0
-80.5298,0.0
-80.51979999999999,0.0
-80.5098,0.0
-80.4998,0.0
-80.4898,0.0
-80.4798,0.0
-80.46979999999999,0.0
-80.4598,0.0
-80.4498,0.0
-80.43979999999999,0.0
-80.4298,0.0
-80.4198,0.0
-80.40979999999999,0.0
-80.3998,0.0
-80.3898,0.0
-80.3798,0.0
-80.3698,0.0
-80.35979999999999,0.0
-80.3498,0.0
-80.3398,0.0
-80.32979999999999,0.0
-80.3198,0.0
-80.3098,0.0
-80.29979999999999,0.0
-80.2898,0.0
-80.2798,0.0
-80.26979999999999,0.0
-80.2598,0.0
-80.2498,0.0
-80.2398,0.0
-80.2298,0.0
-80.21979999999999,0.0
-80.2098,0.0
-80.1998,0.0
-80.18979999999999,0.0
-80.1798,0.0
-80.1698,0.0
-80.15979999999999,0.0
-80.1498,0.0
-80.1398,0.0
-80.1298,0.0
-80.1198,0.0
-80.10979999999999,0.0
-80.0998,0.0
-80.0898,0.0
-80.07979999999999,0.0
-80.0698,0.0
-80.0598,0.0
-80.04979999999999,0.0
-80.0398,0.0
-80.0298,0.0
-80.01979999999999,0.0
-80.0098,0.0
-79.9998,0.0
-79.9898,0.0
-79.9798,0.0
-79.96979999999999,0.0
-79.9598,0.0
-79.9498,0.0
-79.93979999999999,0.0
-79.9298,0.0
-79.9198,0.0
-79.90979999999999,0.0
-79.8998,0.0
-79.8898,0.0
-79.8798,0.0
-79.8698,0.0
-79.85979999999999,0.0
-79.8498,0.0
-79.8398,0.0
-79.82979999999999,0.0
-79.8198,0.0
-79.8098,0.0
-79.79979999999999,0.0
-79.7898,0.0
-79.7798,0.0
-79.76979999999999,0.0
-79.7598,0.0
-79.7498,0.0
-79.7398,0.0
-79.7298,0.0
-79.71979999999999,0.0
-79.7098,0.0
-79.6998,0.0
-79.68979999999999,0.0
-79.6798,0.0
-79.6698,0.0
-79.65979999999999,0.0
-79.6498,0.0
-79.6398,0.0
-79.6298,0.0
-79.6198,0.0
-79.60979999999999,0.0
-79.5998,0.0
-79.5898,0.0
-79.57979999999999,0.0
-79.5698,0.0
-79.5598,0.0
-79.54979999999999,0.0
-79.5398,0.0
-79.5298,0.0
-79.51979999999999,0.0
-79.5098,0.0
-79.4998,0.0
-79.4898,0.0
-79.4798,0.0
-79.46979999999999,0.0
-79.4598,0.0
-79.4498,0.0
-79.43979999999999,0.0
-79.4298,0.0
-79.4198,0.0
-79.40979999999999,0.0
-79.3998,0.0
-79.3898,0.0
-79.3798,0.0
-79.3698,0.0
-79.35979999999999,0.0
-79.3498,0.0
-79.3398,0.0
-79.32979999999999,0.0
-79.3198,0.0
-79.3098,0.0
-79.29979999999999,0.0
-79.2898,0.0
-79.2798,0.0
-79.26979999999999,0.0
-79.2598,0.0
-79.2498,0.0
-79.2398,0.0
-79.2298,0.0
-79.21979999999999,0.0
-79.2098,0.0
-79.1998,0.0
-79.18979999999999,0.0
-79.1798,0.0
-79.1698,0.0
-79.15979999999999,0.0
-79.1498,0.0
-79.1398,0.0
-79.1298,0.0
-79.1198,0.0
-79.10979999999999,0.0
-79.0998,0.0
-79.0898,0.0
-79.07979999999999,0.0
-79.0698,0.0
-79.0598,0.0
-79.04979999999999,0.0
-79.0398,0.0
-79.0298,0.0
-79.01979999999999,0.0
-79.0098,0.0
-78.9998,0.0
-78.9898,0.0
-78.9798,0.0
-78.96979999999999,0.0
-78.9598,0.0
-78.9498,0.0
-78.93979999999999,0.0
-78.9298,0.0
-78.9198,0.0
-78.90979999999999,0.0
-78.8998,0.0
-78.8898,0.0
-78.8798,0.0
-78.8698,0.0
-78.85979999999999,0.0
-78.8498,0.0
-78.8398,0.0
-78.82979999999999,0.0
-78.8198,0.0
-78.8098,0.0
-78.79979999999999,0.0
-78.7898,0.0
-78.7798,0.0
-78.76979999999999,0.0
-78.7598,0.0
-78.7498,0.0
-78.7398,0.0
-78.7298,0.0
-78.71979999999999,0.0
-78.7098,0.0
-78.6998,0.0
-78.68979999999999,0.0
-78.6798,0.0
-78.6698,0.0
-78.65979999999999,0.0
-78.6498,0.0
-78.6398,0.0
-78.6298,0.0
-78.6198,0.0
-78.60979999999999,0.0
-78.5998,0.0
-78.5898,0.0
-78.57979999999999,0.0
-78.5698,0.0
-78.5598,0.0
-78.54979999999999,0.0
-78.5398,0.0
-78.5298,0.0
-78.51979999999999,0.0
-78.5098,0.0
-78.4998,0.0
-78.4898,0.0
-78.4798,0.0
-78.46979999999999,0.0
-78.4598,0.0
-78.4498,0.0
-78.43979999999999,0.0
-78.4298,0.0
-78.4198,0.0
-78.40979999999999,0.0
-78.3998,0.0
-78.3898,0.0
-78.3798,0.0
-78.3698,0.0
-78.35979999999999,0.0
-78.3498,0.0
-78.3398,0.0
-78.32979999999999,0.0
-78.3198,0.0
-78.3098,0.0
-78.29979999999999,0.0
-78.2898,0.0
-78.2798,0.0
-78.26979999999999,0.0
-78.2598,0.0
-78.2498,0.0
-78.2398,0.0
-78.2298,0.0
-78.21979999999999,0.0
-78.2098,0.0
-78.1998,0.0
-78.18979999999999,0.0
-78.1798,0.0
-78.1698,0.0
-78.15979999999999,0.0
-78.1498,0.0
-78.1398,0.0
-78.1298,0.0
-78.1198,0.0
-78.10979999999999,0.0
-78.0998,0.0
-78.0898,0.0
-78.07979999999999,0.0
-78.0698,0.0
-78.0598,0.0
-78.04979999999999,0.0
-78.0398,0.0
-78.0298,0.0
-78.01979999999999,0.0
-78.0098,0.0
-77.9998,0.0
-77.9898,0.0
-77.9798,0.0
-77.96979999999999,0.0
-77.9598,0.0
-77.9498,0.0
-77.93979999999999,0.0
-77.9298,0.0
-77.9198,0.0
-77.90979999999999,0.0
-77.8998,0.0
-77.8898,0.0
-77.8798,0.0
-77.8698,0.0
-77.85979999999999,0.0
-77.8498,0.0
-77.8398,0.0
-77.82979999999999,0.0
-77.8198,0.0
-77.8098,0.0
-77.79979999999999,0.0
-77.7898,0.0
-77.7798,0.0
-77.76979999999999,0.0
-77.7598,0.0
-77.7498,0.0
-77.7398,0.0
-77.7298,0.0
-77.71979999999999,0.0
-77.7098,0.0
-77.6998,0.0
-77.68979999999999,0.0
-77.6798,0.0
-77.6698,0.0
-77.65979999999999,0.0
-77.6498,0.0
-77.6398,0.0
-77.6298,0.0
-77.6198,0.0
-77.60979999999999,0.0
-77.5998,0.0
-77.5898,0.0
-77.57979999999999,0.0
-77.5698,0.0
-77.5598,0.0
-77.54979999999999,0.0
-77.5398,0.0
-77.5298,0.0
-77.51979999999999,0.0
-77.5098,0.0
-77.4998,0.0
-77.4898,0.0
-77.4798,0.0
-77.46979999999999,0.0
-77.4598,0.0
-77.4498,0.0
-77.43979999999999,0.0
-77.4298,0.0
-77.4198,0.0
-77.40979999999999,0.0
-77.3998,0.0
-77.3898,0.0
-77.3798,0.0
-77.3698,0.0
-77.35979999999999,0.0
-77.3498,0.0
-77.3398,0.0
-77.32979999999999,0.0
-77.3198,0.0
-77.3098,0.0
-77.29979999999999,0.0
-77.2898,0.0
-77.2798,0.0
-77.26979999999999,0.0
-77.2598,0.0
-77.2498,0.0
-77.2398,0.0
-77.2298,0.0
-77.21979999999999,0.0
-77.2098,0.0
-77.1998,0.0
-77.18979999999999,0.0
-77.1798,0.0
-77.1698,0.0
-77.15979999999999,0.0
-77.1498,0.0
-77.1398,0.0
-77.1298,0.0
-77.1198,0.0
-77.10979999999999,0.0
-77.0998,0.0
-77.0898,0.0
-77.07979999999999,0.0
-77.0698,0.0
-77.0598,0.0
-77.04979999999999,0.0
-77.0398,0.0
-77.0298,0.0
-77.01979999999999,0.0
-77.0098,0.0
-76.9998,0.0
-76.9898,0.0
-76.9798,0.0
-76.96979999999999,0.0
-76.9598,0.0
-76.9498,0.0
-76.93979999999999,0.0
-76.9298,0.0
-76.9198,0.0
-76.90979999999999,0.0
-76.8998,0.0
-76.8898,0.0
-76.8798,0.0
-76.8698,0.0
-76.85979999999999,0.0
-76.8498,0.0
-76.8398,0.0
-76.82979999999999,0.0
-76.8198,0.0
-76.8098,0.0
-76.79979999999999,0.0
-76.7898,0.0
-76.7798,0.0
-76.76979999999999,0.0
-76.7598,0.0
-76.7498,0.0
-76.7398,0.0
-76.7298,0.0
-76.71979999999999,0.0
-76.7098,0.0
-76.6998,0.0
-76.68979999999999,0.0
-76.6798,0.0
-76.6698,0.0
-76.65979999999999,0.0
-76.6498,0.0
-76.6398,0.0
-76.6298,0.0
-76.6198,0.0
-76.60979999999999,0.0
-76.5998,0.0
-76.5898,0.0
-76.57979999999999,0.0
-76.5698,0.0
-76.5598,0.0
-76.54979999999999,0.0
-76.5398,0.0
-76.5298,0.0
-76.51979999999999,0.0
-76.5098,0.0
-76.4998,0.0
-76.4898,0.0
-76.4798,0.0
-76.46979999999999,0.0
-76.4598,0.0
-76.4498,0.0
-76.43979999999999,0.0
-76.4298,0.0
-76.4198,0.0
-76.40979999999999,0.0
-76.3998,0.0
-76.3898,0.0
-76.3798,0.0
-76.3698,0.0
-76.35979999999999,0.0
-76.3498,0.0
-76.3398,0.0
-76.32979999999999,0.0
-76.3198,0.0
-76.3098,0.0
-76.29979999999999,0.0
-76.2898,0.0
-76.2798,0.0
-76.26979999999999,0.0
-76.2598,0.0
-76.2498,0.0
-76.2398,0.0
-76.2298,0.0
-76.21979999999999,0.0
-76.2098,0.0
-76.1998,0.0
